序號,時間資訊 (紀年 / 人物年齡 / 會幕狀態),關鍵事件內容,地點 (地理),引用經文,備註 (細節遷移、釋義、譯名校對),耶穌基督後期聖徒教會正典關聯
1,出前 80 年 / 摩西 0 歲 / 無會幕,「見他是一個俊美的孩子，就藏了他三個月。」摩西出生後，其父母見他俊美，將其在家中藏匿三個月。,埃及 (尼羅河岸),出 2:1-2,暗蘭與約基別之子。利未支派。摩西（意為「從水裡拉出來」）,摩西在創世以前即蒙選召。
2,出前 80 年 / 摩西 3 個月 / 無會幕,「取了一個蒲草箱，抹上石漆和石油。」因不能再藏，母親取箱抹漆將摩西擱在河邊蘆葦中，後蒙法老女兒拾取收養。,埃及 (尼羅河邊),出 2:3-10,蒲草箱抹上石漆。法老女兒收養。,預備其未來政治與軍事領袖身分。
3,出前 40 年 / 摩西 40 歲 / 無會幕,「他把埃及人打死了，藏在沙土裡。」摩西見同胞受欺，擊殺埃及人後因事洩，法老欲殺摩西，摩西遂逃往米甸。,米甸 (曠野),出 2:11-15,因拯救同胞導致逃亡。離開埃及王宮。,脫離世俗束縛的轉折點。
4,出前 40 年 / 摩西 40 歲 / 無會幕,「摩西起來幫助她們，又飲了她們的羊群。」摩西在井旁救助葉忒羅的女兒並為其飲羊，隨後定居於此，娶西坡拉為妻。,米甸 (水井旁),出 2:16-22,定居米甸，娶西坡拉為妻。生子革舜。葉忒羅（意為「卓越」）、西坡拉（意為「小鳥」）、革舜（意為「在外邦作寄居的」）,在曠野接受四十年的磨煉。
5,出前約 1 年 / 摩西 79 歲 / 無會幕,「耶和華見他過去要看，就從荊棘裡呼叫。」摩西在何烈山見荊棘被火燒卻不毀，神從火中呼召並啟示「我是自有永有的」。,西奈山 (何烈山),出 3:1-4:17,神啟示名號「我是自有永有的」。,獲得麥基洗德聖職鑰權（教約 84:6）。
6,出前約 1 年 / 摩西 80 歲 / 無會幕,「他在神的山遇見摩西，和他親嘴。」亞倫受神命在曠野與摩西會合，摩西將神的話告訴亞倫，兩人一同回埃及見百姓。,西奈山 (神的山),出 4:27-31,亞倫受命作摩西的發言人。回埃及見百姓。亞倫（意為「啟明者、山中之人」）,聖職職位的配搭與支持。
7,出前約 1 年 / 摩西 80 歲 / 無會幕,「耶和華是誰，使我聽他的話？」摩西亞倫首見法老要求放行，法老拒絕並下令不給草，要百姓照常交磚。,蘭塞 (法老宮廷),出 5:1-5,法老拒絕，並加重以色列人的勞役。蘭塞（意為「太陽神所生」）,先知警告被拒絕後的後果。
8,出前數月 / 摩西 80 歲 / 無會幕,「河裡的水都變作血了。」第一災：摩西在河邊舉杖擊水，尼羅河水變血，魚死水臭，埃及人不能喝河水。,蘭塞 (尼羅河邊),出 7:14-25,災殃持續七天。針對埃及尼羅河神 Hapi。,對假神權能的首次打擊。
9,出前數月 / 摩西 80 歲 / 無會幕,「青蛙遮滿了埃及地。」第二災：亞倫伸杖在埃及水上，青蛙上來進入法老宮殿、臥房及埃及全境。,蘭塞 (宮殿與民居),出 8:1-15,針對蛙首女神 Heqet。術士亦能模仿。,埃及自然界失衡的開始。
10,出前數月 / 摩西 80 歲 / 無會幕,「地上所有的塵土都變成了蝨子。」第三災：亞倫伸杖擊打地上的塵土，埃及全地的塵土在人畜身上變成了蝨子。,蘭塞 (埃及全地),出 8:16-19,術士承認這是「神的指頭」。針對地神 Geb。,人類無法掌控的神聖作為。
11,出前數月 / 摩西 80 歲 / 無會幕,「埃及人的房屋和他們所住的地都要滿了蒼蠅。」第四災：成群蒼蠅進入法老宮殿及全地，唯獨歌珊地分別出來，沒有蒼蠅。,蘭塞 (歌珊邊界),出 8:20-32,神將歌珊地分別出來。針對大氣神 Shu。,聖約子民蒙神聖區分保護。
12,出前數月 / 摩西 80 歲 / 無會幕,「埃及的牲畜幾乎都死了。」第五災：耶和華的手加在埃及田間的牲畜身上，發生重大的瘟疫，以色列的牲畜卻無一死亡。,蘭塞 (埃及牧場),出 9:1-7,以色列人的牲畜一頭都沒死。針對牛神 Apis。,生計來源的斷絕審判。
13,出前數月 / 摩西 80 歲 / 無會幕,「人和牲畜身上成了起泡的瘡。」第六災：摩西在法老面前向天揚起爐灰，灰在埃及全地變作塵土，使人畜長瘡。,蘭塞 (法老宮廷前),出 9:8-12,針對醫藥神 Thoth。術士因瘡站立不住。,肉體健康的審判。
14,出前數月 / 摩西 80 歲 / 無會幕,「耶和華打雷下雹，有火閃到地上。」第七災：摩西向天伸杖，耶和華降下雷、雹與閃爍的火，毀壞埃及田間一切植物。,蘭塞 (野外田間),出 9:13-35,毀壞田間所有植物。針對天空女神 Nut。,對自然氣象的絕對主權。
15,出前數月 / 摩西 80 歲 / 無會幕,「蝗蟲遮滿地面，甚至地都黑暗了。」第九災：摩西向埃及地伸杖，東風颳來蝗蟲吃盡雹災剩下的莊稼與果子。,蘭塞 (埃及全境),出 10:1-20,東風刮來蝗蟲。針對守護神 Min。,糧食儲備的徹底毀滅。
16,出前數月 / 摩西 80 歲 / 無會幕,「埃及遍地漆黑了三天。」第九災：摩西向天伸杖，埃及全地三天暗無天光，人不能彼此看見，唯獨以色列人家中有光。,蘭塞 (法老內宮),出 10:21-29,以色列家中都有光。針對太陽神 Ra。,基督是真光，黑暗不能勝。
17,元年一月十日 / 摩西 80 歲 / 無會幕,「各家按著父家取羔羊，一家一隻。」百姓預備無殘疾的一歲公羔羊，留到十四日，為逾越節作預備。,蘭塞 (歌珊民居),出 12:1-6,挑選無殘疾的一歲公羊。留到十四日。,基督是無暇疵的犧牲羔羊。
18,元年一月十四日 / 摩西 80 歲 / 無會幕,「把血抹在左右的門框上和門楣上。」逾越節之夜，神擊殺埃及所有長子，滅命使者見門框塗血即越過該家。,蘭塞 (埃及全境),出 12:7-30,門框塗血。滅命天使越過。法老長子死。,逾越節預表救贖主的犧牲。
19,元年一月十五日 / 摩西 80 歲 / 無會幕,「正滿了四百三十年的那一天。」以色列人六十萬步兵帶著約瑟骸骨與無數財物，連夜從蘭塞起行出埃及。,蘭塞 (出發點),出 12:31-42,六十萬步兵。結束 430 年旅居。帶約瑟骸骨。,脫離靈性奴役的開始。
20,元年一月 / 摩西 80 歲 / 無會幕,「日間雲柱，夜間火柱，總不離開百姓。」抵達疏割，耶和華親自在雲柱火柱中領路，不領他們走非利士地之路。,埃及疏割 (邊境站),出 13:17-22,雲柱火柱開始領路。不走非利士路。埃及疏割（意為「棚子」）,神聖導引的具體化。
21,元年一月 / 摩西 80 歲 / 無會幕,「法老必說：以色列人在地中迷了路。」百姓在比哈希錄安營，法老見其被困，率領六百輛特選戰車起意追趕。,比哈希錄 (紅海邊),出 14:1-9,轉向營地，法老戰車起意追趕。,信心考驗的絕望處境。
