序號,時間資訊 (族長年齡依序並列),關鍵事件內容,地點 (距離),引用經文,備註 (關聯、釋義、補充),耶穌基督後期聖徒教會正典關聯
1,亞伯蘭 <62 歲,亞伯蘭反對偶像，險遭祭司獻祭，蒙主拯救,吾珥,亞 1,他拉欲將子獻給假神。,亞伯蘭獲取了列祖的紀錄與聖職（亞 1:2-4）。
2,亞伯蘭 約 62~75 歲,哈蘭死於饑荒，羅得隨祖父他拉與伯父遷徙,吾珥 → 哈蘭 (960km),創 11:28,,
3,亞伯蘭 62 歲,亞伯蘭離開哈蘭往迦南地,哈蘭 → 迦南 (640km),亞 2:14,亞伯拉罕因著信，蒙召的時候就遵命出去（來 11:8-9）。,
4,他拉 205 歲; 亞伯蘭 75 歲,他拉在哈蘭去世,哈蘭,創 11:32,徒 7:4 證實父死後亞伯蘭才出離。,
5,亞伯蘭 75 歲,亞伯蘭受命離開哈蘭進入迦南,哈蘭 → 迦南 (600km),創 12:4,,
6,亞伯蘭 約 75~85 歲,亞伯蘭在示劍築壇,示劍,創 12:6-7,主承諾「我要把這地賜給你的後裔」。,
7,亞伯蘭 約 75~85 歲,亞伯蘭遷往伯特利東邊築壇求告主名,伯特利,創 12:8,,
8,亞伯蘭 約 75~85 歲,亞伯蘭因大饑荒下埃及避荒,迦南 → 埃及 (350km),創 12:10,,
9,亞伯蘭 約 75~85 歲,亞伯蘭在法老宮教導口拉卜及天文真理,埃及,亞 3,解釋「口拉卜」及眾星治理原則。,亞伯蘭手持法老標誌教導天文學（亞 3 插圖）。
10,亞伯蘭 約 75~85 歲,撒萊入法老宮蒙神保護，亞伯蘭獲財甚多,埃及,創 12:14-20,撒萊為亞伯蘭同父異母妹（創 20:12）。,
11,亞伯蘭 約 75~85 歲,亞伯蘭與羅得回到伯特利,埃及 → 伯特利 (350km),創 13:1,,
12,亞伯蘭 約 75~85 歲,亞伯蘭與羅得因財產過多提議分居,伯特利,創 13:5-9,,
13,亞伯蘭 約 75~85 歲,羅得見約旦河全平原滋潤如耶和華園子，遷入所多瑪,伯特利 → 所多瑪 (100km),創 13:10-12,羅得是義人，看見惡人的淫行，他的義魂就天天憂傷（彼後 2:7-8）。,
14,亞伯蘭 約 75~85 歲,亞伯蘭搬往幔利橡樹下居住並築壇,伯特利 → 希伯崙 (50km),創 13:18,幔利即希伯崙。,
15,亞伯蘭 約 75~85 歲,四王與五王交戰，所多瑪戰敗羅得被擄,西訂谷,創 14:1-12,,
16,亞伯蘭 約 75~85 歲,亞伯蘭率家丁追擊至何把救回羅得,希伯崙 → 何把 (250km),創 14:13-16,,
